Name,Group_ID ,ChatId
Group@1,120363420080989273@g.us,38941622
Group@2,120363402924181661@g.us,38941621
Group@3,120363400618501561@g.us,38941620
Group@4,120363418918465938@g.us,38941619
Group@5,120363402779416239@g.us,38941618
Group@6,120363407585089290@g.us,38941617
Group@7,120363402011242153@g.us,38941616
Group@8,120363403466857021@g.us,38941615
Group@9,120363404647308560@g.us,38941614
Group@10,120363401268286917@g.us,38941613
Group@11,120363421065178855@g.us,38941612
Group @12,120363403693410713@g.us,38941611
Group@13,120363419993076371@g.us,38941610
Group@14,120363420169794564@g.us,38941609
Group@15,120363403352787903@g.us,38941608
Group@16,120363421924136653@g.us,38941607
Group@17,120363401590173590@g.us,38941606
Group@18,120363403104412355@g.us,38941605
Group@19,120363420222293082@g.us,38941604
Group@20,120363403586521846@g.us,38941603
Group@21,120363418229798027@g.us,38941602
Group@22,120363401965785118@g.us,38941601
Group@23,120363401857718264@g.us,38941600
Group@24,120363422486431513@g.us,38941599
Group@25,120363420241126655@g.us,38941598
Group@26,120363419547876234@g.us,38941597
Group@27,120363418991693923@g.us,38941596
Group@28,120363406873104034@g.us,38941595
Group@29,120363421220657742@g.us,38941594
Group@30,120363420964999113@g.us,38941593
